link,name,price,locality,region,postal_code,address,latitude,longitude,images,description,bedrooms,bathrooms,floor_size_sq_ft,uniq_id,scraped_at
https://www.homes.com/property/10125-baffin-dr-san-diego-ca-92126/id-100001981856/,"10125 Baffin Dr, San Diego, CA 92126","$816,480",San Diego,CA,92126,10125 Baffin Dr,32.900981,-117.153876,,"This Single Family Residence is located at 10125 Baffin Dr, San Diego, Ca. The estimated value of this home is currently priced at 816,480, approximately $720.00 per square foot. 10125 Baffin Dr is within the school district San Diego Unified School District with nearby schools including Jonas Salk Elementary School, Challenger Middle School, and Mira Mesa High School.",3,2,"1,134",8b174963-ff1e-5783-bd6a-fdfa28999104,01/07/2022 18:13:41
https://www.homes.com/property/78345-terra-cotta-ct-la-quinta-ca-92253/id-100003432059/,"78345 Terra Cotta Ct, La Quinta, CA 92253","$416,694",La Quinta,CA,92253,78345 Terra Cotta Ct,33.727888,-116.297511,,"This Condominium is located at 78345 Terra Cotta Ct, La Quinta, Ca. The estimated value of this home is currently priced at 416,694, approximately $456.90 per square foot. This property was originally built in 1989. 78345 Terra Cotta Ct is within the school district Desert Sands Unified School District with nearby schools including Gerald R Ford Elementary School, John Glenn Middle School Of International Studies, and La Quinta High School.",2,2,912,9add4ef2-73df-5085-972a-70c81dd5b0ac,01/07/2022 18:13:41
https://www.homes.com/property/469-sandpiper-st-banning-ca-92220/id-100003258512/,"469 Sandpiper St, Banning, CA 92220","$365,040",Banning,CA,92220,469 Sandpiper St,33.923569,-116.935236,,"This Single Family Residence is located at 469 Sandpiper St, Banning, Ca. The estimated value of this home is currently priced at 365,040, approximately $248.16 per square foot. This property was originally built in 2003. 469 Sandpiper St is within the school district Banning Unified School District with nearby schools including Sundance Elementary School, Glen View High School, and Banning High School.",2,2,"1,471",aaab3409-c6c3-5bc3-897c-5b4425492532,01/07/2022 18:13:41
https://www.homes.com/property/18620-hatteras-st-257-tarzana-ca-91356/id-100005518169/,"18620 Hatteras St 257, Tarzana, CA 91356","$366,444",Tarzana,CA,91356,18620 Hatteras St 257,34.176364,-118.539319,,"This Condominium is located at 18620 Hatteras St 257, Tarzana, Ca. The estimated value of this home is currently priced at 366,444, approximately $402.69 per square foot. This property was originally built in 1970. 18620 Hatteras St 257 is within the school district Los Angeles Unified School District with nearby schools including Tarzana Elementary School, Gaspar De Portola Middle School, and Reseda Senior High School.",2,2,910,3f17b279-2a0f-5c56-9bb7-7c998f535953,01/07/2022 18:13:41
https://www.homes.com/property/2075-mendocino-st-seaside-ca-93955/id-100004900908/,"2075 Mendocino St, Seaside, CA 93955","$896,416",Seaside,CA,93955,2075 Mendocino St,36.620651,-121.829274,,"This Single Family Residence is located at 2075 Mendocino St, Seaside, Ca. The estimated value of this home is currently priced at 896,416, approximately $672.48 per square foot. This property was originally built in 1953. 2075 Mendocino St is within the school district Monterey Peninsula Unified School District with nearby schools including Ord Terrace Elementary School, Seaside Middle School, and Seaside High School.",3,2,"1,333",01a2f60e-496f-5886-a59d-103097ebb544,01/07/2022 18:13:42
https://www.homes.com/property/6212-gretchen-ct-fontana-ca-92336/id-100002831613/,"6212 Gretchen Ct, Fontana, CA 92336","$863,704",Fontana,CA,92336,6212 Gretchen Ct,34.141112,-117.468321,,"This Single Family Residence is located at 6212 Gretchen Ct, Fontana, Ca. The estimated value of this home is currently priced at 863,704, approximately $295.69 per square foot. This property was originally built in 2002. 6212 Gretchen Ct is within the school district Chaffey Joint Union High School District with nearby schools including Etiwanda Colony Elementary School, Summit Intermediate School, and Etiwanda High School.",4,2,"2,921",6ee153d9-6438-5d62-ae58-b655eb873646,01/07/2022 18:13:42
https://www.homes.com/property/5879-sailing-hawk-ave-santa-rosa-ca-95409/id-100002226438/,"5879 Sailing Hawk Ave, Santa Rosa, CA 95409","$1,439,471",Santa Rosa,CA,95409,5879 Sailing Hawk Ave,38.466291,-122.634455,,"This Single Family Residence is located at 5879 Sailing Hawk Ave, Santa Rosa, Ca. The estimated value of this home is currently priced at 1,439,471, approximately $388.63 per square foot. This property was originally built in 2001. 5879 Sailing Hawk Ave is within the school district Santa Rosa High School District with nearby schools including Austin Creek Elementary School, Rincon Valley Charter School, and Maria Carrillo High School.",4,5,"3,704",daa159dd-27da-5301-a0ce-81a49b34c8c6,01/07/2022 18:13:42
https://www.homes.com/property/2563-gayle-ln-auburn-ca-95602/id-100002898120/,"2563 Gayle Ln, Auburn, CA 95602","$408,100",Auburn,CA,95602,2563 Gayle Ln,38.973151,-121.068109,,"This Single Family Residence is located at 2563 Gayle Ln, Auburn, Ca. The estimated value of this home is currently priced at 408,100, approximately $180.34 per square foot. This property was originally built in 1980. 2563 Gayle Ln is within the school district Placer Hills Union Elementary School District with nearby schools including Sierra Hills Elementary School, Ilearn Academy, and Ilearn Academy.",3,3,"2,263",54b766c5-c640-5491-8562-1033738c5b90,01/07/2022 18:13:42
https://www.homes.com/property/5451-n-state-st-fresno-ca-93722/id-100004198304/,"5451 N State St, Fresno, CA 93722","$354,240",Fresno,CA,93722,5451 N State St,36.816648,-119.887379,,"This Single Family Residence is located at 5451 N State St, Fresno, Ca. The estimated value of this home is currently priced at 354,240, approximately $279.15 per square foot. 5451 N State St is within the school district Central Unified School District with nearby schools including William Saroyan Elementary School, Rio Vista Middle School, and Central High East Campus.",3,1,"1,269",e54e4bdb-3323-5524-85ec-fb6588406a4b,01/07/2022 18:13:42
https://www.homes.com/property/8801-haveteur-way-san-diego-ca-92123/id-100004942592/,"8801 Haveteur Way, San Diego, CA 92123","$835,596",San Diego,CA,92123,8801 Haveteur Way,32.807714,-117.139024,,"This Single Family Residence is located at 8801 Haveteur Way, San Diego, Ca. The estimated value of this home is currently priced at 835,596, approximately $621.72 per square foot. 8801 Haveteur Way is within the school district San Diego Unified School District with nearby schools including Wegeforth Elementary School, Taft Middle School, and Kearney High School.",4,2,"1,344",acbc1177-ae8b-5b7f-8fce-0020daddef0b,01/07/2022 18:13:43
https://www.homes.com/property/5887-el-zuparko-dr-1-san-jose-ca-95123/id-100005417035/,"5887 El Zuparko Dr 1, San Jose, CA 95123","$636,160",San Jose,CA,95123,5887 El Zuparko Dr 1,37.245969,-121.865185,,"This Condominium is located at 5887 El Zuparko Dr 1, San Jose, Ca. The estimated value of this home is currently priced at 636,160, approximately $602.42 per square foot. This property was originally built in 1971. 5887 El Zuparko Dr 1 is within the school district San Jose Unified School District with nearby schools including Allen At Steinbeck Elementary School, Allen At Steinbeck Elementary School, and Gunderson High School.",3,2,"1,056",9499902c-56f3-56cf-a89e-01c3fdd45df7,01/07/2022 18:13:43
https://www.homes.com/property/322-e-mendocino-ave-stockton-ca-95204/id-100000301910/,"322 E Mendocino Ave, Stockton, CA 95204","$358,530",Stockton,CA,95204,322 E Mendocino Ave,37.979333,-121.295494,,"This Single Family Residence is located at 322 E Mendocino Ave, Stockton, Ca. The estimated value of this home is currently priced at 358,530, approximately $309.08 per square foot. This property was originally built in 1936. 322 E Mendocino Ave is within the school district Stockton Unified School District with nearby schools including Wilson Elementary School, Wilson Elementary School, and Stagg High School.",2,2,"1,160",6a66bcbb-4c02-5f7c-bbf3-8254add72fab,01/07/2022 18:13:43
https://www.homes.com/property/640-graham-hill-rd-santa-cruz-ca-95060/id-100001191796/,"640 Graham Hill Rd, Santa Cruz, CA 95060","$1,296,813",Santa Cruz,CA,95060,640 Graham Hill Rd,36.998782,-122.029247,,"This Single Family Residence is located at 640 Graham Hill Rd, Santa Cruz, Ca. The estimated value of this home is currently priced at 1,296,813, approximately $804.47 per square foot. This property was originally built in 1955. 640 Graham Hill Rd is within the school district Scotts Valley Unified with nearby schools including Brook Knoll Elementary School, Scotts Valley Middle School, and Scotts Valley High School.",3,2,"1,612",44f76583-5e3e-59e5-8517-f2fd91e6c408,01/07/2022 18:13:43
https://www.homes.com/property/4995-benedict-ct-oak-park-ca-91377/id-100001551958/,"4995 Benedict Ct, Oak Park, CA 91377","$956,968",Oak Park,CA,91377,4995 Benedict Ct,34.184038,-118.781716,,"This Single Family Residence is located at 4995 Benedict Ct, Oak Park, Ca. The estimated value of this home is currently priced at 956,968, approximately $640.97 per square foot. This property was originally built in 1989. 4995 Benedict Ct is within the school district Oak Park Unified School District with nearby schools including Oak Hills Elementary School, Medea Creek Middle School, and Oak Park High School.",3,2,"1,493",4a0bb9ac-0cbb-575b-80de-aebf43237bf8,01/07/2022 18:13:44
https://www.homes.com/property/109-via-hermosa-santa-cruz-ca-95060/id-100001152953/,"109 Via Hermosa, Santa Cruz, CA 95060","$1,547,555",Santa Cruz,CA,95060,109 Via Hermosa,36.994251,-122.014684,,"This Single Family Residence is located at 109 Via Hermosa, Santa Cruz, Ca. The estimated value of this home is currently priced at 1,547,555, approximately $667.05 per square foot. This property was originally built in 1974. 109 Via Hermosa is within the school district Santa Cruz City High School District with nearby schools including De Laveaga Elementary School, Mission Hill Middle School, and Harbor High School.",4,3,"2,320",f0d00ecf-6466-5ec5-862b-ce3518ad9b44,01/07/2022 18:13:44
https://www.homes.com/property/1833-arroyo-de-platina-san-jose-ca-95116/id-100005301416/,"1833 Arroyo De Platina, San Jose, CA 95116","$967,958",San Jose,CA,95116,1833 Arroyo De Platina,37.35894,-121.855196,,"This Single Family Residence is located at 1833 Arroyo De Platina, San Jose, Ca. The estimated value of this home is currently priced at 967,958, approximately $963.14 per square foot. This property was originally built in 1980. 1833 Arroyo De Platina is within the school district East Side Union High School District with nearby schools including San Antonio Elementary School, Lee Mathson Middle School, and Independence High School.",3,2,"1,005",c9eb0a1f-f020-5d8d-b7b6-67b93a04e99c,01/07/2022 18:13:44
https://www.homes.com/property/32126-village-32-camarillo-ca-93012/id-100001438497/,"32126 Village 32, Camarillo, CA 93012","$796,716",Camarillo,CA,93012,32126 Village 32,34.223959,-118.980772,,"This Single Family Residence is located at 32126 Village 32, Camarillo, Ca. The estimated value of this home is currently priced at 796,716, approximately $477.93 per square foot. This property was originally built in 1979. 32126 Village 32 is within the school district Oxnard Union High School District with nearby schools including Tierra Linda Elementary School, Las Colinas Middle School, and Adolfo Camarillo High School.",2,2,"1,667",fd4e17e4-d5ef-5f67-8034-4a2e0f96c6a1,01/07/2022 18:13:44
https://www.homes.com/property/1413-ptarmigan-dr-7-walnut-creek-ca-94595/id-100003915536/,"1413 Ptarmigan Dr 7, Walnut Creek, CA 94595","$472,450",Walnut Creek,CA,94595,1413 Ptarmigan Dr 7,37.856498,-122.06624,,"This Condominium is located at 1413 Ptarmigan Dr 7, Walnut Creek, Ca. The estimated value of this home is currently priced at 472,450, approximately $406.58 per square foot. This property was originally built in 1969. 1413 Ptarmigan Dr 7 is within the school district Acalanes Union High School District with nearby schools including Parkmead Elementary School, Walnutcreek Intermediate School, and Las Lomas High School.",2,2,"1,162",9959b499-27b6-5299-9e5a-e3bd035f2bf2,01/07/2022 18:13:44
